Region_Code,Timestamp_hr_ending,Wind_Generation_MWh,Solar_Generation_MWh,Hydro_Generation_MWh,Other_Generation_MWh,Petroleum_Generation_MWh,Natural_gas_Generation_MWh,Coal_Generation_MWh,Nuclear_Generation_MWh
PJM,12/6/2023 4 p.m. EST,4119,198,2787,1349,470,46858,14552,33768
PJM,12/6/2023 5 p.m. EST,4226,9,3876,1378,519,50889,15459,33757
PJM,12/6/2023 6 p.m. EST,5432,9,3797,1377,341,51121,15524,33767
PJM,12/6/2023 7 p.m. EST,6534,9,3492,1370,242,50172,15312,33769
PJM,12/6/2023 8 p.m. EST,7384,9,3001,1375,269,48943,15255,33683
PJM,12/6/2023 9 p.m. EST,7510,9,2890,1381,270,47364,14972,33528
PJM,12/6/2023 10 p.m. EST,7489,7,2376,1021,274,44428,14486,33610
PJM,12/6/2023 11 p.m. EST,7467,7,1152,1026,218,42254,13926,33669
PJM,12/7/2023 12 a.m. EST,2842,7,804,1023,225,40211,13742,33779
PJM,12/7/2023 1 a.m. EST,7873,7,1404,1012,220,39691,12944,33732
PJM,12/7/2023 2 a.m. EST,7637,7,1563,1006,226,39253,12712,33754
PJM,12/7/2023 3 a.m. EST,8140,7,1722,1010,219,38597,12842,33794
PJM,12/7/2023 4 a.m. EST,7969,7,2272,1005,221,38309,12776,33801
PJM,12/7/2023 5 a.m. EST,8019,7,2334,1551,238,41543,13247,33815
PJM,12/7/2023 6 a.m. EST,7823,7,3955,1558,292,45549,13522,33803
PJM,12/7/2023 7 a.m. EST,7434,58,4388,1575,292,49052,14811,33782
PJM,12/7/2023 8 a.m. EST,7040,976,2757,1685,289,49303,15543,33800
PJM,12/7/2023 9 a.m. EST,6436,2151,1821,1716,236,47696,15632,33797
PJM,12/7/2023 10 a.m. EST,5770,2670,1272,1676,239,46612,15099,33789
PJM,12/7/2023 11 a.m. EST,5239,2715,1216,1703,322,45421,14435,33781
PJM,12/7/2023 12 p.m. EST,4952,2486,1095,1684,222,44568,14287,33777
PJM,12/7/2023 1 p.m. EST,4544,2796,1133,1710,215,44785,14233,33769
