Region_Code,Timestamp_hr_ending,Wind_Generation_MWh,Solar_Generation_MWh,Hydro_Generation_MWh,Other_Generation_MWh,Petroleum_Generation_MWh,Natural_gas_Generation_MWh,Coal_Generation_MWh,Nuclear_Generation_MWh
PJM,7/8/2023 10 a.m. EDT,992,2999,577,1472,232,52545,14280,32536
PJM,7/8/2023 11 a.m. EDT,1156,3238,1263,1704,446,54567,15333,32512
PJM,7/8/2023 12 p.m. EDT,1396,3032,2600,2050,439,54664,16503,32499
PJM,7/8/2023 1 p.m. EDT,1267,2683,3620,2213,443,55706,17380,32460
PJM,7/8/2023 2 p.m. EDT,1177,2469,4067,2304,456,55816,17490,32478
PJM,7/8/2023 3 p.m. EDT,1045,2223,3186,2661,456,57104,18368,32445
PJM,7/8/2023 4 p.m. EDT,1364,1788,3758,2598,457,56319,18959,32456
PJM,7/8/2023 5 p.m. EDT,1341,1654,3556,2420,459,56402,19001,32517
PJM,7/8/2023 6 p.m. EDT,983,1116,4020,2164,430,56431,18938,32531
PJM,7/8/2023 7 p.m. EDT,586,379,5152,1841,426,55392,18568,32565
PJM,7/8/2023 8 p.m. EDT,267,45,3281,1845,426,55334,18168,32577
PJM,7/8/2023 9 p.m. EDT,199,10,2692,1597,411,54199,17623,32615
PJM,7/8/2023 10 p.m. EDT,254,10,1099,809,214,52822,17154,32631
PJM,7/8/2023 11 p.m. EDT,369,5,744,790,216,49039,15941,32508
PJM,7/9/2023 12 a.m. EDT,511,17,667,922,216,48157,18147,32240
PJM,7/9/2023 1 a.m. EDT,572,5,453,796,218,44550,13708,32658
PJM,7/9/2023 2 a.m. EDT,544,5,453,789,217,41605,13018,32676
PJM,7/9/2023 3 a.m. EDT,610,5,474,803,218,41026,12736,32685
PJM,7/9/2023 4 a.m. EDT,579,5,464,805,220,39572,12508,32691
PJM,7/9/2023 5 a.m. EDT,631,5,446,814,226,39127,12466,32696
PJM,7/9/2023 6 a.m. EDT,704,27,398,823,226,38778,12467,32697
PJM,7/9/2023 7 a.m. EDT,506,561,545,857,222,39444,12499,32707
PJM,7/9/2023 8 a.m. EDT,552,1612,462,938,220,42308,12723,32676
PJM,7/9/2023 9 a.m. EDT,420,2164,608,1026,219,44883,13146,32662
PJM,7/9/2023 10 a.m. EDT,729,2658,446,1183,216,46754,13449,32670
PJM,7/9/2023 11 a.m. EDT,632,2874,1062,1310,238,49015,14567,32638
PJM,7/9/2023 12 p.m. EDT,540,2749,1047,1272,444,51191,15839,32615
PJM,7/9/2023 1 p.m. EDT,484,2875,1180,1205,394,51658,17060,32623
PJM,7/9/2023 2 p.m. EDT,361,2148,1802,1171,438,52361,18681,32595
PJM,7/9/2023 3 p.m. EDT,571,1937,2800,1084,442,52394,18356,32593
PJM,7/9/2023 4 p.m. EDT,632,1687,4300,1036,380,52729,17722,32644
PJM,7/9/2023 5 p.m. EDT,1066,1745,4804,1042,400,53435,17277,32630
PJM,7/9/2023 6 p.m. EDT,778,1882,4812,1124,424,53470,17919,32629
PJM,7/9/2023 7 p.m. EDT,424,910,4838,1014,417,52542,18089,32646
PJM,7/9/2023 8 p.m. EDT,326,132,2802,970,400,51935,18354,32650
PJM,7/9/2023 9 p.m. EDT,454,6,1005,978,388,51670,18469,32661
PJM,7/9/2023 10 p.m. EDT,771,5,704,902,304,49089,17381,32588
PJM,7/9/2023 11 p.m. EDT,947,5,732,808,217,46378,15968,32694
PJM,7/10/2023 12 a.m. EDT,522,5,643,799,219,46581,14306,32534
PJM,7/10/2023 1 a.m. EDT,877,5,472,807,220,41656,13303,32730
PJM,7/10/2023 2 a.m. EDT,971,5,522,824,218,39171,12857,32753
PJM,7/10/2023 3 a.m. EDT,979,5,597,829,217,37739,13077,32722
PJM,7/10/2023 4 a.m. EDT,979,5,563,823,219,37427,13131,32710
PJM,7/10/2023 5 a.m. EDT,1121,5,615,827,222,39527,13241,32734
PJM,7/10/2023 6 a.m. EDT,982,33,641,822,224,41457,13292,32756
PJM,7/10/2023 7 a.m. EDT,967,783,794,866,223,45546,13533,32758
PJM,7/10/2023 8 a.m. EDT,956,1582,678,868,222,48428,14045,32693
